"last_name, first_name","player_id","attempts","avg_hit_angle","anglesweetspotpercent","max_hit_speed","avg_hit_speed","ev50","fbld","gb","max_distance","avg_distance","avg_hr_distance","ev95plus","ev95percent","barrels","brl_percent","brl_pa"
"Paredes, Isaac","670623","111","17.6",39.6,"107.4","85.7","97.3","89.3","82.1","390","175","365","35",31.5,"4",3.6,2.4
"Ohtani, Shohei","660271","110","13.8",38.2,"117.9","97","107.8","102","90.7","448","200","405","73",66.4,"27",24.5,14.8
"García, Adolis","666969","110","21.6",32.7,"113.6","92.1","101.5","94","91.8","431","201","404","53",48.2,"16",14.5,10.2
"Carpenter, Kerry","681481","110","21.7",37.3,"109.2","91.2","100.9","96.1","87.9","413","192","380","51",46.4,"16",14.5,11.3
"Rutschman, Adley","668939","109","15.5",33.9,"110.2","89.1","99.1","92.8","84.3","436","181","420","41",37.6,"10",9.2,6.6
"Wood, James","695578","109","3.2",29.4,"117.9","93.7","106","99.7","88.6","445","154","410","64",58.7,"17",15.6,9.3
"Schanuel, Nolan","694384","109","9.6",42.2,"109.8","87.9","97.1","91.4","84","392","163","377","32",29.4,"4",3.7,2.7
"Story, Trevor","596115","109","13",31.2,"111.7","89.8","102.6","93.4","88.6","427","158","393","54",49.5,"11",10.1,6.5
"Ward, Taylor","621493","108","21.2",30.6,"110.3","91.2","101.8","96.6","84.3","419","194","384","51",47.2,"15",13.9,9.4
"Schwarber, Kyle","656941","108","17.9",32.4,"116.7","94.1","104.4","97.3","90.8","462","191","407","63",58.3,"16",14.8,9
"Contreras, Willson","575929","108","5.7",38.9,"114.7","89.5","102.6","93.6","86.7","421","152","398","46",42.6,"12",11.1,7
"Flores, Wilmer","527038","108","16.6",37,"104.7","84.4","95.4","90.7","79.9","399","160","380","25",23.1,"6",5.6,4
"Santander, Anthony","623993","108","16.2",29.6,"110.4","90.7","100.5","93.8","88.9","409","170","398","47",43.5,"5",4.6,3.1
"Goodman, Hunter","696100","107","17.2",25.2,"116.2","90.5","102.2","94.6","87.7","421","176","394","52",48.6,"9",8.4,5.9
"Olson, Matt","621566","107","11.9",35.5,"113.8","94.2","104.2","98.5","91.3","434","179","414","58",54.2,"18",16.8,10.3
"Wagaman, Eric","676572","107","8.6",34.6,"110.3","91.3","101.3","94.7","89.6","427","153","419","48",44.9,"8",7.5,5.8
"Bleday, JJ","668709","106","21.3",29.2,"109.9","89.6","100.1","92.1","88.7","387","180","365","45",42.5,"4",3.8,2.5
"Bellinger, Cody","641355","106","20.3",34.9,"110.2","89.7","99.8","92.8","88.5","451","189","402","44",41.5,"11",10.4,7.3
"Vientos, Mark","668901","106","11.6",37.7,"110.4","90.5","100.2","94.6","84.7","403","169","372","45",42.5,"7",6.6,4.6
"Sosa, Lenyn","672820","106","18.5",40.6,"107.6","90.4","100","93.4","87.5","416","184","406","42",39.6,"7",6.6,4.8
"Torkelson, Spencer","679529","106","20.4",41.5,"110.5","91.1","101.5","95.9","83.3","423","201","396","51",48.1,"15",14.2,8.7
"Hernández, Teoscar","606192","106","11.6",39.6,"112.5","86.9","100.7","92.5","80.2","436","171","389","42",39.6,"11",10.4,8.1
"Lowe, Nathaniel","663993","105","11.6",34.3,"111.7","89.6","101.5","94.5","86.2","421","156","394","46",43.8,"9",8.6,5.3
"Diaz, Yainer","673237","105","12.5",34.3,"109.7","89.1","99.1","91.8","88.3","409","161","392","37",35.2,"10",9.5,7.4
"Crawford, J.P.","641487","105","13.1",41,"108.6","88.3","98.4","91","85.9","417","163","391","41",39,"8",7.6,5.1
"Vargas, Miguel","678246","105","21.1",33.3,"110","89.6","99","92.8","88.1","422","177","395","40",38.1,"5",4.8,3.2
"Abreu, Wilyer","677800","105","26.3",32.4,"110.8","91","103.4","94.6","88.3","430","201","406","51",48.6,"16",15.2,10.1
"Bogaerts, Xander","593428","105","12.5",36.2,"112.2","89.3","99.7","93.8","84.8","370","165","357","40",38.1,"3",2.9,1.9
"Contreras, William","661388","105","3.1",27.6,"114.1","89.5","101.6","97.5","84.3","408","129","384","44",41.9,"5",4.8,3.1
"Greene, Riley","682985","104","9.6",34.6,"114.3","90.6","102.6","96.8","84.9","417","158","383","53",51,"16",15.4,9.7
"Suzuki, Seiya","673548","104","17.2",43.3,"114.3","92.5","103.3","94.8","90.4","445","192","405","52",50,"16",15.4,9.6
"Pages, Andy","681624","104","16.5",40.4,"110.6","88.5","98.1","91.5","83.7","418","185","391","35",33.7,"7",6.7,4.6
"Kirk, Alejandro","672386","104","15",33.7,"111.4","90.3","101.9","94.2","87.9","424","160","407","51",49,"7",6.7,5.6
"Rengifo, Luis","650859","103","1.4",27.2,"106.4","85.7","96.6","91.1","83","402","115","402","29",28.2,"4",3.9,3
"Giménez, Andrés","665926","103","7",29.1,"105.9","87.9","98","92.6","83","407","157","385","32",31.1,"4",3.9,2.8
"Rafaela, Ceddanne","678882","103","10.5",36.9,"109.1","91.2","101.4","95.4","87.7","406","162","406","49",47.6,"15",14.6,10.9
"Volpe, Anthony","683011","103","12.5",34,"110.5","91.6","102","96.2","87.9","418","178","367","50",48.5,"10",9.7,6.1
"Kepler, Max","596146","103","14.2",34,"109.3","90.4","101.2","93.7","88.6","422","180","385","51",49.5,"12",11.7,8.2
"Suárez, Eugenio","553993","102","22.4",36.3,"111.8","92.6","102.9","97.3","85.9","458","217","422","57",55.9,"18",17.6,10.8
"Yelich, Christian","592885","100","-1.2",26,"113.4","90.7","102.2","93.4","89.7","465","118","411","49",49,"5",5,3
"Walker, Christian","572233","100","13.2",32,"112.8","90.1","102.2","94.6","86.1","404","169","382","46",46,"10",10,6.3
"Torres, Gleyber","650402","100","17.4",39,"108.3","89.5","98.9","93","84.5","416","198","398","35",35,"9",9,7.3
"Raleigh, Cal","663728","98","21.9",36.7,"110.7","90.9","102.2","94.8","88.1","432","196","387","44",44.9,"20",20.4,11.8
"Mullins, Cedric","656775","98","24.9",35.7,"108.4","88.4","98.5","92.6","83.7","396","188","382","35",35.7,"7",7.1,4.6
"Yastrzemski, Mike","573262","98","17.9",37.8,"106.8","90.2","99.9","93.5","85.7","387","184","375","41",41.8,"9",9.2,6.1
"Buxton, Byron","621439","97","15",36.1,"112.5","91.1","103.4","97.2","85.3","446","183","403","54",55.7,"16",16.5,9.9
"Andujar, Miguel","609280","97","9.6",33,"111.4","87.8","99.5","89.6","87","384","148","363","36",37.1,"4",4.1,3.4
"Mountcastle, Ryan","663624","97","10.8",36.1,"116.7","91.5","102.3","95.4","87","395","170","392","50",51.5,"13",13.4,9.5
"Steer, Spencer","668715","97","13.2",29.9,"106.5","86.7","97.1","91.1","82.9","384","146","382","28",28.9,"7",7.2,4.8
"Sweeney, Trey","700242","96","5.6",31.3,"110.8","88.3","99.8","91.9","85.4","409","147","378","36",37.5,"6",6.3,4.3
"Crews, Dylan","686611","96","7.6",30.2,"111.1","90.3","101.3","95.5","87.3","429","155","407","40",41.7,"13",13.5,8.8
"Lowe, Brandon","664040","96","11.3",35.4,"111.6","91.7","101.8","96.5","88.2","409","165","395","42",43.8,"10",10.4,6.8
